gap_id,date,pred_log10_chl,q05_log10_chl,q10_log10_chl,q25_log10_chl,q50_log10_chl,q75_log10_chl,q90_log10_chl,q95_log10_chl,pred_chl_mg_m3,q05_chl_mg_m3,q10_chl_mg_m3,q25_chl_mg_m3,q50_chl_mg_m3,q75_chl_mg_m3,q90_chl_mg_m3,q95_chl_mg_m3,artificial_validation_supported,event_caveat,quantile_calibrated,scenario_only_256day
REAL_L010_20150701,2015-07-01,0.3483352363109588,-0.2296285033226013,-0.0896977186203002,0.1103168129920959,0.3235929906368255,0.5694229602813721,0.8026544451713562,0.9516857862472534,2.2301559650131835,0.5893475693089694,0.8133964663852373,1.289189658263521,2.106652924813292,3.7104190434293773,6.34825619529579,8.947171999334044,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-02,0.3231852054595947,-0.2437954545021057,-0.1130175590515136,0.0758914351463317,0.2806699872016907,0.5400898456573486,0.7827823162078857,0.9396758079528807,2.1046757902055337,0.5704328734447942,0.7708723011342632,1.1909442587893608,1.908402545657732,3.468085898463751,6.06432288033025,8.703136758554935,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-03,0.4602309167385101,-0.1684868931770324,-0.0172157883644104,0.2179252505302429,0.4566477239131927,0.7142099142074585,0.943050742149353,1.0754854679107666,2.8855653661109293,0.6784425952986096,0.9611345997430659,1.6516774919634614,2.861855646358023,5.178570752650243,8.77103294254176,11.898315150989374,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-04,0.3363085091114044,-0.278350830078125,-0.1463730335235595,0.0619530081748962,0.2892961204051971,0.5762958526611328,0.8449847102165222,1.0063536167144775,2.1692445205584505,0.5268041286281689,0.7138828790743201,1.1533284578439496,1.9466869629799757,3.76960506806754,6.998173577794184,10.147372816055357,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-05,0.3904716074466705,-0.2339297533035278,-0.0880719423294067,0.1311806440353393,0.3579954802989959,0.6367954611778259,0.8904181718826294,1.0389127731323242,2.457375971888301,0.5835394835663296,0.8164471129685839,1.3526350724075218,2.280318340612725,4.333067566887405,7.769949065706584,10.937366701692017,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-06,0.3789972364902496,-0.2372412681579589,-0.0939012765884399,0.1210530996322631,0.3434298634529114,0.6183835864067078,0.8739756345748901,1.0272806882858276,2.3933005272678756,0.579106889736649,0.8055615398759925,1.3214571941522433,2.2051079929094075,4.153207086881658,7.4812752678748256,10.648310053774525,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-07,0.2794850468635559,-0.2703378200531006,-0.1512885689735412,0.0252643823623657,0.2090155184268951,0.4698388278484344,0.7431386113166809,0.9307644367218018,1.9032027075249924,0.5366142235570023,0.7058483941881716,1.0598987558479398,1.6181378567184832,2.9501141989578734,5.535267470312498,8.526375141523715,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-08,0.2922519743442535,-0.2441281080245971,-0.1260378360748291,0.0494760274887084,0.2361713051795959,0.4897727072238922,0.7375877499580383,0.9029220342636108,1.959981509997447,0.5699961102393726,0.7481043222385241,1.1206655650941793,1.7225478909780834,3.0886785156879695,5.464969593917022,7.996906794560488,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-09,0.2779917120933532,-0.269972026348114,-0.1543282866477966,0.026346743106842,0.223442792892456,0.4760560393333435,0.7368284463882446,0.907568335533142,1.896669725559871,0.537066388622699,0.7009252631435023,1.0625435592600925,1.672795274210908,2.9926507693855777,5.455423201473176,8.082921025598585,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-10,0.1967169344425201,-0.282991349697113,-0.1807188391685485,-0.0300028324127197,0.1381171941757202,0.3568076491355896,0.5980896353721619,0.777717113494873,1.5729573041853753,0.5212050923952016,0.6596007804418234,0.9332482142523937,1.3744128096701753,2.2740900036028053,3.9635983173712086,5.994005174054092,True,no_event_bias_correction_applied,False,False
