gap_id,date,pred_log10_chl,pred_chl,q05,q10,q25,q50,q75,q90,q95,artificial_validation_supported,event_caveat,quantile_calibrated,scenario_only_256day
REAL_L010_20150701,2015-07-01,0.3483352363109588,2.2301559650131835,-0.2296285033226013,-0.0896977186203002,0.1103168129920959,0.3235929906368255,0.5694229602813721,0.8026544451713562,0.9516857862472534,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-02,0.3231852054595947,2.1046757902055337,-0.2437954545021057,-0.1130175590515136,0.0758914351463317,0.2806699872016907,0.5400898456573486,0.7827823162078857,0.9396758079528807,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-03,0.4602309167385101,2.8855653661109293,-0.1684868931770324,-0.0172157883644104,0.2179252505302429,0.4566477239131927,0.7142099142074585,0.943050742149353,1.0754854679107666,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-04,0.3363085091114044,2.1692445205584505,-0.278350830078125,-0.1463730335235595,0.0619530081748962,0.2892961204051971,0.5762958526611328,0.8449847102165222,1.0063536167144775,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-05,0.3904716074466705,2.457375971888301,-0.2339297533035278,-0.0880719423294067,0.1311806440353393,0.3579954802989959,0.6367954611778259,0.8904181718826294,1.0389127731323242,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-06,0.3789972364902496,2.3933005272678756,-0.2372412681579589,-0.0939012765884399,0.1210530996322631,0.3434298634529114,0.6183835864067078,0.8739756345748901,1.0272806882858276,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-07,0.2794850468635559,1.9032027075249924,-0.2703378200531006,-0.1512885689735412,0.0252643823623657,0.2090155184268951,0.4698388278484344,0.7431386113166809,0.9307644367218018,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-08,0.2922519743442535,1.959981509997447,-0.2441281080245971,-0.1260378360748291,0.0494760274887084,0.2361713051795959,0.4897727072238922,0.7375877499580383,0.9029220342636108,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-09,0.2779917120933532,1.896669725559871,-0.269972026348114,-0.1543282866477966,0.026346743106842,0.223442792892456,0.4760560393333435,0.7368284463882446,0.907568335533142,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-10,0.1967169344425201,1.5729573041853753,-0.282991349697113,-0.1807188391685485,-0.0300028324127197,0.1381171941757202,0.3568076491355896,0.5980896353721619,0.777717113494873,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-11,0.1914656013250351,1.5540521958309077,-0.2928350567817688,-0.1777141094207763,-0.0112338662147521,0.1581384241580963,0.348329484462738,0.5784310102462769,0.7371431589126587,True,no_event_bias_correction_applied,False,False
REAL_L010_20150701,2015-07-12,0.1529010683298111,1.4220048195330972,-0.2778475880622864,-0.1705464124679565,-0.0199190378189086,0.1297416687011718,0.2922069132328033,0.4864428043365478,0.6302292346954346,True,no_event_bias_correction_applied,False,False
