date,chl_mean,target_eligible_default,observed_chl,is_observed,reconstructed_chl,final_chl,is_reconstructed,gap_id,gap_length,method,method_sensitivity_variant,reconstructed_chl_sensitivity_variant,uncertainty_lower,uncertainty_upper,quality_flag,extrapolation_flag,notes
2015-07-01,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,1.0390833333333334,1.0390833333333334,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-02,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.4340190598643959,2.487665343426274,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-03,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.3173207108453008,3.4025329476129915,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-04,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.2585718010458401,4.175606811122071,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-05,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.2246943011932302,4.805169369572071,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-06,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.2047620673860393,5.272920846103574,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-07,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.1941402076577463,5.561414539715163,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-08,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.1907944352518493,5.6589395397507865,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-09,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.1941402076577462,5.561414539715166,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-10,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.204762067386039,5.2729208461035775,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-11,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.22469430119323,4.805169369572074,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-12,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.2585718010458399,4.175606811122075,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-13,,False,,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.3173207108453006,3.4025329476129933,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-14,1.682909090909091,False,1.682909090909091,False,1.0390833333333334,1.0390833333333334,True,REAL_L010_20150701,14.0,state_space_kalman,gap_edge_residual_model_sensitivity,,0.4340190598643959,2.4876653434262743,standard_uncertainty,False,"Retrospective reconstruction (engineered hybrid pipeline, primary method assignment). Method=state_space_kalman. "
2015-07-15,1.0390833333333334,True,1.0390833333333334,True,,1.0390833333333334,False,,,,,,,,,False,
